Date,America_Toronto_DST,America_New_York_DST
Sat May 14 01:00:00 EST 1921,FALSE,TRUE
Sun May 15 01:00:00 EST 1921,FALSE,TRUE
Fri Sep 16 01:00:00 EST 1921,FALSE,TRUE
Sat Sep 17 01:00:00 EST 1921,FALSE,TRUE
Sun Sep 18 01:00:00 EST 1921,FALSE,TRUE
Mon Sep 19 01:00:00 EST 1921,FALSE,TRUE
Tue Sep 20 01:00:00 EST 1921,FALSE,TRUE
Wed Sep 21 01:00:00 EST 1921,FALSE,TRUE
Thu Sep 22 01:00:00 EST 1921,FALSE,TRUE
Fri Sep 23 01:00:00 EST 1921,FALSE,TRUE
Sat Sep 24 01:00:00 EST 1921,FALSE,TRUE
Mon May 01 01:00:00 EST 1922,FALSE,TRUE
Tue May 02 01:00:00 EST 1922,FALSE,TRUE
Wed May 03 01:00:00 EST 1922,FALSE,TRUE
Thu May 04 01:00:00 EST 1922,FALSE,TRUE
Fri May 05 01:00:00 EST 1922,FALSE,TRUE
Sat May 06 01:00:00 EST 1922,FALSE,TRUE
Sun May 07 01:00:00 EST 1922,FALSE,TRUE
Mon May 08 01:00:00 EST 1922,FALSE,TRUE
Tue May 09 01:00:00 EST 1922,FALSE,TRUE
Wed May 10 01:00:00 EST 1922,FALSE,TRUE
Thu May 11 01:00:00 EST 1922,FALSE,TRUE
Fri May 12 01:00:00 EST 1922,FALSE,TRUE
Sat May 13 01:00:00 EST 1922,FALSE,TRUE
Sun May 14 01:00:00 EST 1922,FALSE,TRUE
Mon Sep 18 01:00:00 EST 1922,FALSE,TRUE
Tue Sep 19 01:00:00 EST 1922,FALSE,TRUE
Wed Sep 20 01:00:00 EST 1922,FALSE,TRUE
Thu Sep 21 01:00:00 EST 1922,FALSE,TRUE
Fri Sep 22 01:00:00 EST 1922,FALSE,TRUE
Sat Sep 23 01:00:00 EST 1922,FALSE,TRUE
Mon Apr 30 01:00:00 EST 1923,FALSE,TRUE
Tue May 01 01:00:00 EST 1923,FALSE,TRUE
Wed May 02 01:00:00 EST 1923,FALSE,TRUE
Thu May 03 01:00:00 EST 1923,FALSE,TRUE
Fri May 04 01:00:00 EST 1923,FALSE,TRUE
Sat May 05 01:00:00 EST 1923,FALSE,TRUE
Sun May 06 01:00:00 EST 1923,FALSE,TRUE
Mon May 07 01:00:00 EST 1923,FALSE,TRUE
Tue May 08 01:00:00 EST 1923,FALSE,TRUE
Wed May 09 01:00:00 EST 1923,FALSE,TRUE
Thu May 10 01:00:00 EST 1923,FALSE,TRUE
Fri May 11 01:00:00 EST 1923,FALSE,TRUE
Sat May 12 01:00:00 EST 1923,FALSE,TRUE
Sun May 13 01:00:00 EST 1923,FALSE,TRUE
Mon Sep 17 01:00:00 EST 1923,FALSE,TRUE
Tue Sep 18 01:00:00 EST 1923,FALSE,TRUE
Wed Sep 19 01:00:00 EST 1923,FALSE,TRUE
Thu Sep 20 01:00:00 EST 1923,FALSE,TRUE
Fri Sep 21 01:00:00 EST 1923,FALSE,TRUE
Sat Sep 22 01:00:00 EST 1923,FALSE,TRUE
Sun Sep 23 01:00:00 EST 1923,FALSE,TRUE
Mon Sep 24 01:00:00 EST 1923,FALSE,TRUE
Tue Sep 25 01:00:00 EST 1923,FALSE,TRUE
Wed Sep 26 01:00:00 EST 1923,FALSE,TRUE
Thu Sep 27 01:00:00 EST 1923,FALSE,TRUE
Fri Sep 28 01:00:00 EST 1923,FALSE,TRUE
Sat Sep 29 01:00:00 EST 1923,FALSE,TRUE
Mon Apr 28 01:00:00 EST 1924,FALSE,TRUE
Tue Apr 29 01:00:00 EST 1924,FALSE,TRUE
Wed Apr 30 01:00:00 EST 1924,FALSE,TRUE
Thu May 01 01:00:00 EST 1924,FALSE,TRUE
Fri May 02 01:00:00 EST 1924,FALSE,TRUE
Sat May 03 01:00:00 EST 1924,FALSE,TRUE
Sun May 04 01:00:00 EST 1924,FALSE,TRUE
Mon Sep 22 01:00:00 EST 1924,FALSE,TRUE
Tue Sep 23 01:00:00 EST 1924,FALSE,TRUE
Wed Sep 24 01:00:00 EST 1924,FALSE,TRUE
Thu Sep 25 01:00:00 EST 1924,FALSE,TRUE
Fri Sep 26 01:00:00 EST 1924,FALSE,TRUE
Sat Sep 27 01:00:00 EST 1924,FALSE,TRUE
Mon Apr 27 01:00:00 EST 1925,FALSE,TRUE
Tue Apr 28 01:00:00 EST 1925,FALSE,TRUE
Wed Apr 29 01:00:00 EST 1925,FALSE,TRUE
Thu Apr 30 01:00:00 EST 1925,FALSE,TRUE
Fri May 01 01:00:00 EST 1925,FALSE,TRUE
Sat May 02 01:00:00 EST 1925,FALSE,TRUE
Sun May 03 01:00:00 EST 1925,FALSE,TRUE
Mon Sep 21 01:00:00 EST 1925,FALSE,TRUE
Tue Sep 22 01:00:00 EST 1925,FALSE,TRUE
Wed Sep 23 01:00:00 EST 1925,FALSE,TRUE
Thu Sep 24 01:00:00 EST 1925,FALSE,TRUE
Fri Sep 25 01:00:00 EST 1925,FALSE,TRUE
Sat Sep 26 01:00:00 EST 1925,FALSE,TRUE
Mon Apr 26 01:00:00 EST 1926,FALSE,TRUE
Tue Apr 27 01:00:00 EST 1926,FALSE,TRUE
Wed Apr 28 01:00:00 EST 1926,FALSE,TRUE
Thu Apr 29 01:00:00 EST 1926,FALSE,TRUE
Fri Apr 30 01:00:00 EST 1926,FALSE,TRUE
Sat May 01 01:00:00 EST 1926,FALSE,TRUE
Sun May 02 01:00:00 EST 1926,FALSE,TRUE
Mon Sep 20 01:00:00 EST 1926,FALSE,TRUE
Tue Sep 21 01:00:00 EST 1926,FALSE,TRUE
Wed Sep 22 01:00:00 EST 1926,FALSE,TRUE
Thu Sep 23 01:00:00 EST 1926,FALSE,TRUE
Fri Sep 24 01:00:00 EST 1926,FALSE,TRUE
Sat Sep 25 01:00:00 EST 1926,FALSE,TRUE
Mon Apr 25 01:00:00 EST 1927,FALSE,TRUE
Tue Apr 26 01:00:00 EST 1927,FALSE,TRUE
Wed Apr 27 01:00:00 EST 1927,FALSE,TRUE
Thu Apr 28 01:00:00 EST 1927,FALSE,TRUE
Fri Apr 29 01:00:00 EST 1927,FALSE,TRUE
Sat Apr 30 01:00:00 EST 1927,FALSE,TRUE
Sun May 01 01:00:00 EST 1927,FALSE,TRUE
Mon Apr 25 01:00:00 EST 1932,FALSE,TRUE
Tue Apr 26 01:00:00 EST 1932,FALSE,TRUE
Wed Apr 27 01:00:00 EST 1932,FALSE,TRUE
Thu Apr 28 01:00:00 EST 1932,FALSE,TRUE
Fri Apr 29 01:00:00 EST 1932,FALSE,TRUE
Sat Apr 30 01:00:00 EST 1932,FALSE,TRUE
Sun May 01 01:00:00 EST 1932,FALSE,TRUE
Mon Sep 25 01:00:00 EDT 1933,TRUE,FALSE
Tue Sep 26 01:00:00 EDT 1933,TRUE,FALSE
Wed Sep 27 01:00:00 EDT 1933,TRUE,FALSE
Thu Sep 28 01:00:00 EDT 1933,TRUE,FALSE
Fri Sep 29 01:00:00 EDT 1933,TRUE,FALSE
Sat Sep 30 01:00:00 EDT 1933,TRUE,FALSE
Sun Oct 01 01:00:00 EDT 1933,TRUE,FALSE
Mon Sep 30 01:00:00 EDT 1940,TRUE,FALSE
Tue Oct 01 01:00:00 EDT 1940,TRUE,FALSE
Wed Oct 02 01:00:00 EDT 1940,TRUE,FALSE
Thu Oct 03 01:00:00 EDT 1940,TRUE,FALSE
Fri Oct 04 01:00:00 EDT 1940,TRUE,FALSE
Sat Oct 05 01:00:00 EDT 1940,TRUE,FALSE
Sun Oct 06 01:00:00 EDT 1940,TRUE,FALSE
Mon Oct 07 01:00:00 EDT 1940,TRUE,FALSE
Tue Oct 08 01:00:00 EDT 1940,TRUE,FALSE
Wed Oct 09 01:00:00 EDT 1940,TRUE,FALSE
Thu Oct 10 01:00:00 EDT 1940,TRUE,FALSE
Fri Oct 11 01:00:00 EDT 1940,TRUE,FALSE
Sat Oct 12 01:00:00 EDT 1940,TRUE,FALSE
Sun Oct 13 01:00:00 EDT 1940,TRUE,FALSE
Mon Oct 14 01:00:00 EDT 1940,TRUE,FALSE
Tue Oct 15 01:00:00 EDT 1940,TRUE,FALSE
Wed Oct 16 01:00:00 EDT 1940,TRUE,FALSE
Thu Oct 17 01:00:00 EDT 1940,TRUE,FALSE
Fri Oct 18 01:00:00 EDT 1940,TRUE,FALSE
Sat Oct 19 01:00:00 EDT 1940,TRUE,FALSE
Sun Oct 20 01:00:00 EDT 1940,TRUE,FALSE
Mon Oct 21 01:00:00 EDT 1940,TRUE,FALSE
Tue Oct 22 01:00:00 EDT 1940,TRUE,FALSE
Wed Oct 23 01:00:00 EDT 1940,TRUE,FALSE
Thu Oct 24 01:00:00 EDT 1940,TRUE,FALSE
Fri Oct 25 01:00:00 EDT 1940,TRUE,FALSE
Sat Oct 26 01:00:00 EDT 1940,TRUE,FALSE
Sun Oct 27 01:00:00 EDT 1940,TRUE,FALSE
Mon Oct 28 01:00:00 EDT 1940,TRUE,FALSE
Tue Oct 29 01:00:00 EDT 1940,TRUE,FALSE
Wed Oct 30 01:00:00 EDT 1940,TRUE,FALSE
Thu Oct 31 01:00:00 EDT 1940,TRUE,FALSE
Fri Nov 01 01:00:00 EDT 1940,TRUE,FALSE
Sat Nov 02 01:00:00 EDT 1940,TRUE,FALSE
Sun Nov 03 01:00:00 EDT 1940,TRUE,FALSE
Mon Nov 04 01:00:00 EDT 1940,TRUE,FALSE
Tue Nov 05 01:00:00 EDT 1940,TRUE,FALSE
Wed Nov 06 01:00:00 EDT 1940,TRUE,FALSE
Thu Nov 07 01:00:00 EDT 1940,TRUE,FALSE
Fri Nov 08 01:00:00 EDT 1940,TRUE,FALSE
Sat Nov 09 01:00:00 EDT 1940,TRUE,FALSE
Sun Nov 10 01:00:00 EDT 1940,TRUE,FALSE
Mon Nov 11 01:00:00 EDT 1940,TRUE,FALSE
Tue Nov 12 01:00:00 EDT 1940,TRUE,FALSE
Wed Nov 13 01:00:00 EDT 1940,TRUE,FALSE
Thu Nov 14 01:00:00 EDT 1940,TRUE,FALSE
Fri Nov 15 01:00:00 EDT 1940,TRUE,FALSE
Sat Nov 16 01:00:00 EDT 1940,TRUE,FALSE
Sun Nov 17 01:00:00 EDT 1940,TRUE,FALSE
Mon Nov 18 01:00:00 EDT 1940,TRUE,FALSE
Tue Nov 19 01:00:00 EDT 1940,TRUE,FALSE
Wed Nov 20 01:00:00 EDT 1940,TRUE,FALSE
Thu Nov 21 01:00:00 EDT 1940,TRUE,FALSE
Fri Nov 22 01:00:00 EDT 1940,TRUE,FALSE
Sat Nov 23 01:00:00 EDT 1940,TRUE,FALSE
Sun Nov 24 01:00:00 EDT 1940,TRUE,FALSE
Mon Nov 25 01:00:00 EDT 1940,TRUE,FALSE
Tue Nov 26 01:00:00 EDT 1940,TRUE,FALSE
Wed Nov 27 01:00:00 EDT 1940,TRUE,FALSE
Thu Nov 28 01:00:00 EDT 1940,TRUE,FALSE
Fri Nov 29 01:00:00 EDT 1940,TRUE,FALSE
Sat Nov 30 01:00:00 EDT 1940,TRUE,FALSE
Sun Dec 01 01:00:00 EDT 1940,TRUE,FALSE
Mon Dec 02 01:00:00 EDT 1940,TRUE,FALSE
Tue Dec 03 01:00:00 EDT 1940,TRUE,FALSE
Wed Dec 04 01:00:00 EDT 1940,TRUE,FALSE
Thu Dec 05 01:00:00 EDT 1940,TRUE,FALSE
Fri Dec 06 01:00:00 EDT 1940,TRUE,FALSE
Sat Dec 07 01:00:00 EDT 1940,TRUE,FALSE
Sun Dec 08 01:00:00 EDT 1940,TRUE,FALSE
Mon Dec 09 01:00:00 EDT 1940,TRUE,FALSE
Tue Dec 10 01:00:00 EDT 1940,TRUE,FALSE
Wed Dec 11 01:00:00 EDT 1940,TRUE,FALSE
Thu Dec 12 01:00:00 EDT 1940,TRUE,FALSE
Fri Dec 13 01:00:00 EDT 1940,TRUE,FALSE
Sat Dec 14 01:00:00 EDT 1940,TRUE,FALSE
Sun Dec 15 01:00:00 EDT 1940,TRUE,FALSE
Mon Dec 16 01:00:00 EDT 1940,TRUE,FALSE
Tue Dec 17 01:00:00 EDT 1940,TRUE,FALSE
Wed Dec 18 01:00:00 EDT 1940,TRUE,FALSE
Thu Dec 19 01:00:00 EDT 1940,TRUE,FALSE
Fri Dec 20 01:00:00 EDT 1940,TRUE,FALSE
Sat Dec 21 01:00:00 EDT 1940,TRUE,FALSE
Sun Dec 22 01:00:00 EDT 1940,TRUE,FALSE
Mon Dec 23 01:00:00 EDT 1940,TRUE,FALSE
Tue Dec 24 01:00:00 EDT 1940,TRUE,FALSE
Wed Dec 25 01:00:00 EDT 1940,TRUE,FALSE
Thu Dec 26 01:00:00 EDT 1940,TRUE,FALSE
Fri Dec 27 01:00:00 EDT 1940,TRUE,FALSE
Sat Dec 28 01:00:00 EDT 1940,TRUE,FALSE
Sun Dec 29 01:00:00 EDT 1940,TRUE,FALSE
Mon Dec 30 01:00:00 EDT 1940,TRUE,FALSE
Tue Dec 31 01:00:00 EDT 1940,TRUE,FALSE
Wed Jan 01 01:00:00 EDT 1941,TRUE,FALSE
Thu Jan 02 01:00:00 EDT 1941,TRUE,FALSE
Fri Jan 03 01:00:00 EDT 1941,TRUE,FALSE
Sat Jan 04 01:00:00 EDT 1941,TRUE,FALSE
Sun Jan 05 01:00:00 EDT 1941,TRUE,FALSE
Mon Jan 06 01:00:00 EDT 1941,TRUE,FALSE
Tue Jan 07 01:00:00 EDT 1941,TRUE,FALSE
Wed Jan 08 01:00:00 EDT 1941,TRUE,FALSE
Thu Jan 09 01:00:00 EDT 1941,TRUE,FALSE
Fri Jan 10 01:00:00 EDT 1941,TRUE,FALSE
Sat Jan 11 01:00:00 EDT 1941,TRUE,FALSE
Sun Jan 12 01:00:00 EDT 1941,TRUE,FALSE
Mon Jan 13 01:00:00 EDT 1941,TRUE,FALSE
Tue Jan 14 01:00:00 EDT 1941,TRUE,FALSE
Wed Jan 15 01:00:00 EDT 1941,TRUE,FALSE
Thu Jan 16 01:00:00 EDT 1941,TRUE,FALSE
Fri Jan 17 01:00:00 EDT 1941,TRUE,FALSE
Sat Jan 18 01:00:00 EDT 1941,TRUE,FALSE
Sun Jan 19 01:00:00 EDT 1941,TRUE,FALSE
Mon Jan 20 01:00:00 EDT 1941,TRUE,FALSE
Tue Jan 21 01:00:00 EDT 1941,TRUE,FALSE
Wed Jan 22 01:00:00 EDT 1941,TRUE,FALSE
Thu Jan 23 01:00:00 EDT 1941,TRUE,FALSE
Fri Jan 24 01:00:00 EDT 1941,TRUE,FALSE
Sat Jan 25 01:00:00 EDT 1941,TRUE,FALSE
Sun Jan 26 01:00:00 EDT 1941,TRUE,FALSE
Mon Jan 27 01:00:00 EDT 1941,TRUE,FALSE
Tue Jan 28 01:00:00 EDT 1941,TRUE,FALSE
Wed Jan 29 01:00:00 EDT 1941,TRUE,FALSE
Thu Jan 30 01:00:00 EDT 1941,TRUE,FALSE
Fri Jan 31 01:00:00 EDT 1941,TRUE,FALSE
Sat Feb 01 01:00:00 EDT 1941,TRUE,FALSE
Sun Feb 02 01:00:00 EDT 1941,TRUE,FALSE
Mon Feb 03 01:00:00 EDT 1941,TRUE,FALSE
Tue Feb 04 01:00:00 EDT 1941,TRUE,FALSE
Wed Feb 05 01:00:00 EDT 1941,TRUE,FALSE
Thu Feb 06 01:00:00 EDT 1941,TRUE,FALSE
Fri Feb 07 01:00:00 EDT 1941,TRUE,FALSE
Sat Feb 08 01:00:00 EDT 1941,TRUE,FALSE
Sun Feb 09 01:00:00 EDT 1941,TRUE,FALSE
Mon Feb 10 01:00:00 EDT 1941,TRUE,FALSE
Tue Feb 11 01:00:00 EDT 1941,TRUE,FALSE
Wed Feb 12 01:00:00 EDT 1941,TRUE,FALSE
Thu Feb 13 01:00:00 EDT 1941,TRUE,FALSE
Fri Feb 14 01:00:00 EDT 1941,TRUE,FALSE
Sat Feb 15 01:00:00 EDT 1941,TRUE,FALSE
Sun Feb 16 01:00:00 EDT 1941,TRUE,FALSE
Mon Feb 17 01:00:00 EDT 1941,TRUE,FALSE
Tue Feb 18 01:00:00 EDT 1941,TRUE,FALSE
Wed Feb 19 01:00:00 EDT 1941,TRUE,FALSE
Thu Feb 20 01:00:00 EDT 1941,TRUE,FALSE
Fri Feb 21 01:00:00 EDT 1941,TRUE,FALSE
Sat Feb 22 01:00:00 EDT 1941,TRUE,FALSE
Sun Feb 23 01:00:00 EDT 1941,TRUE,FALSE
Mon Feb 24 01:00:00 EDT 1941,TRUE,FALSE
Tue Feb 25 01:00:00 EDT 1941,TRUE,FALSE
Wed Feb 26 01:00:00 EDT 1941,TRUE,FALSE
Thu Feb 27 01:00:00 EDT 1941,TRUE,FALSE
Fri Feb 28 01:00:00 EDT 1941,TRUE,FALSE
Sat Mar 01 01:00:00 EDT 1941,TRUE,FALSE
Sun Mar 02 01:00:00 EDT 1941,TRUE,FALSE
Mon Mar 03 01:00:00 EDT 1941,TRUE,FALSE
Tue Mar 04 01:00:00 EDT 1941,TRUE,FALSE
Wed Mar 05 01:00:00 EDT 1941,TRUE,FALSE
Thu Mar 06 01:00:00 EDT 1941,TRUE,FALSE
Fri Mar 07 01:00:00 EDT 1941,TRUE,FALSE
Sat Mar 08 01:00:00 EDT 1941,TRUE,FALSE
Sun Mar 09 01:00:00 EDT 1941,TRUE,FALSE
Mon Mar 10 01:00:00 EDT 1941,TRUE,FALSE
Tue Mar 11 01:00:00 EDT 1941,TRUE,FALSE
Wed Mar 12 01:00:00 EDT 1941,TRUE,FALSE
Thu Mar 13 01:00:00 EDT 1941,TRUE,FALSE
Fri Mar 14 01:00:00 EDT 1941,TRUE,FALSE
Sat Mar 15 01:00:00 EDT 1941,TRUE,FALSE
Sun Mar 16 01:00:00 EDT 1941,TRUE,FALSE
Mon Mar 17 01:00:00 EDT 1941,TRUE,FALSE
Tue Mar 18 01:00:00 EDT 1941,TRUE,FALSE
Wed Mar 19 01:00:00 EDT 1941,TRUE,FALSE
Thu Mar 20 01:00:00 EDT 1941,TRUE,FALSE
Fri Mar 21 01:00:00 EDT 1941,TRUE,FALSE
Sat Mar 22 01:00:00 EDT 1941,TRUE,FALSE
Sun Mar 23 01:00:00 EDT 1941,TRUE,FALSE
Mon Mar 24 01:00:00 EDT 1941,TRUE,FALSE
Tue Mar 25 01:00:00 EDT 1941,TRUE,FALSE
Wed Mar 26 01:00:00 EDT 1941,TRUE,FALSE
Thu Mar 27 01:00:00 EDT 1941,TRUE,FALSE
Fri Mar 28 01:00:00 EDT 1941,TRUE,FALSE
Sat Mar 29 01:00:00 EDT 1941,TRUE,FALSE
Sun Mar 30 01:00:00 EDT 1941,TRUE,FALSE
Mon Mar 31 01:00:00 EDT 1941,TRUE,FALSE
Tue Apr 01 01:00:00 EDT 1941,TRUE,FALSE
Wed Apr 02 01:00:00 EDT 1941,TRUE,FALSE
