2013-06-27 11:55:44 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\test_tiff\pdfs\Reg24bitjpeg7.pdf
2013-06-27 11:55:45 INFO  Concatenate:96 - Files Merged
2013-07-09 08:39:30 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-07-09 08:39:30 INFO  Concatenate:54 - Merging 2 files
2013-07-09 08:39:30 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption.pdf
2013-07-09 08:39:30 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption2.pdf
2013-07-09 08:40:38 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-07-09 08:40:38 INFO  Concatenate:54 - Merging 3 files
2013-07-09 08:40:38 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\concatenated.pdf
2013-07-09 08:40:38 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption.pdf
2013-07-09 08:40:38 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption2.pdf
2013-08-21 12:52:46 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-08-21 12:52:46 INFO  Concatenate:54 - Merging 3 files
2013-08-21 12:52:46 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption.pdf
2013-08-21 12:52:46 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_decrypted.pdf
2013-08-21 12:52:46 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_encrypted.pdf
2013-08-21 15:12:09 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-08-21 15:12:09 INFO  Concatenate:54 - Merging 4 files
2013-08-21 15:12:09 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\concatenated.pdf
2013-08-21 15:12:09 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption.pdf
2013-08-21 15:12:09 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_decrypted.pdf
2013-08-21 15:12:09 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_encrypted.pdf
2013-08-21 15:13:05 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-08-21 15:13:05 INFO  Concatenate:54 - Merging 4 files
2013-08-21 15:13:05 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\concatenated.pdf
2013-08-21 15:13:05 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption.pdf
2013-08-21 15:13:05 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_decrypted.pdf
2013-08-21 15:13:05 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_encrypted.pdf
2013-08-21 15:14:29 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-08-21 15:14:29 INFO  Concatenate:54 - Merging 4 files
2013-08-21 15:14:29 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\concatenated.pdf
2013-08-21 15:14:29 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption.pdf
2013-08-21 15:14:29 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_decrypted.pdf
2013-08-21 15:14:29 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_encrypted.pdf
2013-08-21 15:14:56 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-08-21 15:14:56 INFO  Concatenate:54 - Merging 0 files
2013-08-21 15:15:38 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-08-21 15:15:38 INFO  Concatenate:54 - Merging 3 files
2013-08-21 15:15:38 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption.pdf
2013-08-21 15:15:38 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_decrypted.pdf
2013-08-21 15:15:38 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryption_encrypted.pdf
